new_index,OpenFIGI_figi,OpenFIGI_name,OpenFIGI_ticker,OpenFIGI_exchCode,OpenFIGI_compositeFIGI,OpenFIGI_securityType,OpenFIGI_marketSector,OpenFIGI_shareClassFIGI,OpenFIGI_securityType2,OpenFIGI_securityDescription,OpenFIGI_uniqueID,OpenFIGI_uniqueIDFutOpt,IB_longName,IB_marketName,IB_secIdList,Origin_Name,Origin_Stock,Origin_Country
20,BBG000QR9LJ5,AB&T FINANCIAL CORP,ABTO,US,BBG000QR9LJ5,Common Stock,Equity,BBG001SNH4H1,Common Stock,ABTO,,,AB&T FINANCIAL CORP,CURRENT,US00037W1062,AB&T FINANCIAL CORP,ABTO,United States of America
21,BBG000BSY5T5,ABACUS PROPERTY GROUP,ABP,AU,BBG000BSY5T5,REIT,Equity,BBG001SBZ9T3,REIT,ABP,,,ABACUS PROPERTY GROUP,ABP,AU000000ABP9,ABACUS PROPERTY GROUP,ABP,Australia
22,,,,,,,,,,,,,ABAKAN INC,ABKI,US00258J1079,ABAKAN INC,ABKI,
23,BBG000CMRRJ8,ABAN OFFSHORE LTD,ABAN,IN,BBG000CMRRJ8,Common Stock,Equity,BBG001S82NV2,Common Stock,ABAN,,,ABAN OFFSHORE LIMITED,ABAN,INE421A01028,ABAN OFFSHORE LIMITED,ABAN,India
24,BBG001MB85Y1,ABATTIS BIOCEUTICALS CORP,ATTBF,US,BBG001MB85Y1,Common Stock,Equity,BBG001TX2LJ4,Common Stock,ATTBF,,,ABATTIS BIOCEUTICALS CORP,NOINFO,CA00258G1037,ABATTIS BIOCEUTICALS CORP,ATTBF,United States of America
25,,,,,,,,,,,,,ABAXIS INC,ABAX,US0025671050,ABAXIS INC,ABAX,
26,BBG000CNH2P5,ABB INDIA LTD,ABB,IN,BBG000CNH2P5,Common Stock,Equity,BBG001S82TB1,Common Stock,ABB,,,ABB INDIA LTD,ABB,INE117A01022,ABB INDIA LTD,ABB,India
27,,,,,,,,,,,,,ABBA MEDIX GROUP INC,ABA,CA00258L1022,ABBA MEDIX GROUP INC,ABA,Canada
28,BBG000CPK597,ABBOTT INDIA LTD,BOOT,IN,BBG000CPK597,Common Stock,Equity,BBG001S83069,Common Stock,BOOT,,,ABBOTT INDIA LTD,ABBOTINDI,INE358A01014,ABBOTT INDIA LTD,ABBOTINDI,India
29,BBG0025Y4RY4,ABBVIE INC,ABBV,US,BBG0025Y4RY4,Common Stock,Equity,BBG0025Y4RZ3,Common Stock,ABBV,,,ABBVIE INC,ABBV,US00287Y1091,ABBVIE INC,ABBV,Mexico
30,BBG001M8FVR1,ABBY INC,ABBY,US,BBG001M8FVR1,Common Stock,Equity,BBG001V10SY1,Common Stock,ABBY,,,ABBY INC,NOINFO,US00287T3086,ABBY INC,ABBY,United States of America
31,BBG000C2BWM4,ABC-MART INC,AMKYF,US,BBG000C2BWM4,Common Stock,Equity,BBG001SFTBB5,Common Stock,AMKYF,,,ABC-MART INC,2670,JP3152740001,ABC-MART INC,2670,Japan
32,BBG000M1SPF0,ABCO ENERGY INC,ABCE,US,BBG000M1SPF0,Common Stock,Equity,BBG001SK7PJ9,Common Stock,ABCE,,,ABCO ENERGY INC,CURRENT,US00287V4023,ABCO ENERGY INC,ABCE,United States of America
33,BBG000FKMTB8,ABCOURT MINES INC -CL B,ABI,CN,BBG000FKMTB8,Common Stock,Equity,BBG001SBDFM0,Common Stock,ABI,,,ABCOURT MINES INC -CL B,CURRENT,CA00288E3005,ABCOURT MINES INC -CL B,ABMBF,United States of America
34,BBG000BXCCV0,ABEN RESOURCES LTD,ABN,CN,BBG000BXCCV0,Common Stock,Equity,BBG001S5XP49,Common Stock,ABN,,,ABEN RESOURCES LTD,CURRENT,CA00289T3064,ABEN RESOURCES LTD,ABNAF,United States of America
35,BBG000DT5D52,ABEONA THERAPEUTICS INC,ABEO,US,BBG000DT5D52,Common Stock,Equity,BBG001S8T7K0,Common Stock,ABEO,,,ABEONA THERAPEUTICS INC,SCM,US00289Y2063,ABEONA THERAPEUTICS INC,ABEO,United States of America
36,,,,,,,,,,,,,ABERDEEN GREATER CHINA FUND,GCH,US0030311015,ABERDEEN GREATER CHINA FUND,GCH,
37,,,,,,,,,,,,,ABERDEEN INDONESIA FUND INC,IF,US00305P1066,ABERDEEN INDONESIA FUND INC,IF,
38,BBG000BXKHJ4,ABERDEEN INTERNATIONAL INC,AABVF,US,BBG000BXKHJ4,Common Stock,Equity,BBG001S6XZ90,Common Stock,AABVF,,,ABERDEEN INTERNATIONAL INC.,CURRENT,CA0030691012,ABERDEEN INTERNATIONAL INC.,AABVF,United States of America
39,,,,,,,,,,,,,ABERDEEN ISRAEL FUND INC,ISL,US00301L1098,ABERDEEN ISRAEL FUND INC,ISL,
40,BBG000K9PWJ9,ABERDEEN NEW THAI INV TR-ORD,ANW,EO,BBG000K9PWJ9,Closed-End Fund,Equity,BBG001S67X76,Mutual Fund,ANW,,,ABERDEEN NEW THAI INV TR-ORD,ANW,GB0000059971,ABERDEEN NEW THAI INV TR-ORD,ANW,United Kingdom
41,BBG000BC7GW2,ABERFORTH SMALLER COS-ORD,ASL,LN,BBG000BC7G25,Closed-End Fund,Equity,BBG001S6P8D4,Mutual Fund,ASL,,,ABERFORTH SMALLER COS-ORD,STMM,GB0000066554,ABERFORTH SMALLER COS-ORD,ASL,United Kingdom
42,BBG00GX1MT89,ABERFORTH SPLIT LEVEL INCOME,ASIZ,LN,BBG00GX1MT70,Closed-End Fund,Equity,BBG00GX1MTC4,Mutual Fund,ASIZ,,,ABERFORTH SPLIT LEVEL INCOME,SSQ3,GB00BYPBD519,ABERFORTH SPLIT LEVEL INCOME,ASIZ,United Kingdom
43,BBG00B3TP3R5,ABILITY INC,ABILF,US,BBG00B3TP3R5,Common Stock,Equity,BBG00B3TP3P7,Common Stock,ABILF,,,ABILITY INC,ABIL,KYG8789K1242,ABILITY INC,ABIL,Israel
44,BBG000C101X4,ABIOMED INC,ABMD,US,BBG000C101X4,Common Stock,Equity,BBG001S64SQ9,Common Stock,ABMD,,,ABIOMED INC,NMS,US0036541003,ABIOMED INC,ABMD,Germany
45,BBG00DBKMVY4,ABITIBI ROYALTIES INC,RZZEUR,XS,BBG00DBKMVG4,Common Stock,Equity,BBG001T8RJD3,Common Stock,RZZEUR,,,ABITIBI ROYALTIES INC,RZZ,CA0036841074,ABITIBI ROYALTIES INC,RZZ,Canada
46,BBG000C4DB08,ABLE ENERGY INC,ABLE,US,BBG000C4DB08,Common Stock,Equity,BBG001S5NF60,Common Stock,ABLE,,,ABLE ENERGY INC,ABLE,US0037091024,ABLE ENERGY INC,ABLE,
47,BBG00CW19LH1,ABLE ENGINEERING HOLDINGS LT,1627,HK,BBG00CW19LF3,Common Stock,Equity,BBG00CW19LG2,Common Stock,1627,,,ABLE ENGINEERING HOLDINGS LT,1627,KYG0R8151046,ABLE ENGINEERING HOLDINGS LT,1627,Hong Kong
48,BBG000B9YYH7,ABM INDUSTRIES INC,ABM,US,BBG000B9YYH7,Common Stock,Equity,BBG001S5N9B8,Common Stock,ABM,,,ABM INDUSTRIES INC,ABM,US0009571003,ABM INDUSTRIES INC,ABM,United States of America
49,BBG00BDTXC59,ABN AMRO BANK NV-CVA,ABN,NA,BBG00BDTXC40,Dutch Cert,Equity,BBG00BDTXC86,Depositary Receipt,ABN,,,ABN AMRO BANK NV-CVA,ABN,NL0011540547,ABN AMRO BANK NV-CVA,ABN,Netherlands
50,BBG000QGC2Y0,ABO GROUP ENVIRONMENT,ABO1EUR,EO,BBG000QGC2Y0,Common Stock,Equity,BBG001SS4XX2,Common Stock,ABO1EUR,,,ABO GROUP ENVIRONMENT,THEB,BE0974278104,ABO GROUP ENVIRONMENT,ABO,Belgium
51,BBG00329FNN9,ABOITIZ EQUITY VENTURES-ADR,ABTZY,US,BBG00329FNN9,ADR,Equity,BBG00329FPD5,Depositary Receipt,ABTZY,,,ABOITIZ EQUITY VENTURES-ADR,LIMITED,US0037253061,ABOITIZ EQUITY VENTURES-ADR,ABTZY,United States of America
52,BBG000BG8JQ3,ABR HOLDINGS LTD,ABR,SP,BBG000BG8HX9,Common Stock,Equity,BBG001S6XZ72,Common Stock,ABR,,,ABR HOLDINGS LTD,533,SG0533000253,ABR HOLDINGS LTD,533,Singapore
53,BBG000GFD1B9,ABRAXAS PETROLEUM CORP,AXOA,GR,BBG000GFD1B9,Common Stock,Equity,BBG001SD2QH0,Common Stock,AXOA,,,ABRAXAS PETROLEUM CORP,PRIMQX,US0038303048,ABRAXAS PETROLEUM CORP,AXAS,Germany
54,BBG000BF9DG8,ABSA GROUP LTD,ABG,SJ,BBG000BF9C25,Common Stock,Equity,BBG001S7JF34,Common Stock,ABG,,,ABSA GROUP LTD,ABG,ZAE000255915,ABSA GROUP LTD,ABG,South Africa
55,,,,,,,,,,,,,ABSOLUTE RETURN TRUST LTD,ABRL,GG00BCCW5806,ABSOLUTE RETURN TRUST LTD,ABRL,
56,BBG000CP0JG1,ABTERRA LTD,ABT,SP,BBG000CNZGN6,Common Stock,Equity,BBG001SFB0W5,Common Stock,ABT,,,ABTERRA LTD,L5I,SG2C12961455,ABTERRA LTD,L5I,Singapore
57,BBG000DLM5R3,ABUNDANCE INTERNATIONAL LTD,ADI,SP,BBG000DLM5C9,Common Stock,Equity,BBG001SDNXN5,Common Stock,ADI,,,ABUNDANCE INTERNATIONAL LTD,541,SG1I02877971,ABUNDANCE INTERNATIONAL LTD,541,Singapore
58,,,,,,,,,,,,,AC ENERGY INC,ACEN,US00389M1027,AC ENERGY INC,ACEN,
59,BBG00D0RHJ38,AC IMMUNE SA,ACIU,US,BBG00D0RHJ38,Common Stock,Equity,BBG00D0RHJ65,Common Stock,ACIU,,,AC IMMUNE SA,NMS,CH0329023102,AC IMMUNE SA,ACIU,United States of America
60,BBG00JNJY2P2,ACACIA COMMUNICATIONS INC,ACIAEUR,XB,BBG00JNJY2N4,Common Stock,Equity,BBG00359HX89,Common Stock,ACIAEUR,,,ACACIA COMMUNICATIONS INC,ACIA,US00401C1080,ACACIA COMMUNICATIONS INC,ACIA,United States of America
61,BBG000BSH3J0,ACACIA DIVERSIFIED HOLDINGS,ACCA,US,BBG000BSH3J0,Common Stock,Equity,BBG001S6ZLZ0,Common Stock,ACCA,,,ACACIA DIVERSIFIED HOLDINGS,NOINFO,US00389L1044,ACACIA DIVERSIFIED HOLDINGS,ACCA,United States of America
62,BBG000R05LN2,ACACIA MINING PLC,ACA1GBX,XS,BBG000R05FC7,Common Stock,Equity,BBG001SJ8TN8,Common Stock,ACA1GBX,,,ACACIA MINING PLC,ACA,GB00B61D2N63,ACACIA MINING PLC,ACA,
63,BBG00K62GGD7,ACACIA PHARMA GROUP PLC,ACPHEUR,XB,BBG00K62GGC8,Common Stock,Equity,BBG00B07GR93,Common Stock,ACPHEUR,,,ACACIA PHARMA GROUP PLC,ACPH,GB00BYWF9Y76,ACACIA PHARMA GROUP PLC,ACPH,Belgium
64,BBG000KF9J02,ACACIA RESEARCH CORP,ACTG,US,BBG000KF9J02,Common Stock,Equity,BBG001SJLJT9,Common Stock,ACTG,,,ACACIA RESEARCH CORP,NMS,US0038813079,ACACIA RESEARCH CORP,ACTG,United States of America
65,BBG000BRRWR8,ACADEMIES AUSTRALASIA GROUP,AKG,AU,BBG000BRRWR8,Common Stock,Equity,BBG001S6MW71,Common Stock,AKG,,,ACADEMIES AUSTRALASIA GROUP,AKG,AU000000AKG9,ACADEMIES AUSTRALASIA GROUP,AKG,Australia
66,BBG000FPNN38,ACADIA HEALTHCARE CO INC,ACHC,US,BBG000FPNN38,Common Stock,Equity,BBG001SNNWL7,Common Stock,ACHC,,,ACADIA HEALTHCARE CO INC,NMS,US00404A1097,ACADIA HEALTHCARE CO INC,ACHC,United States of America
67,BBG000BHG9K0,ACADIA PHARMACEUTICALS INC,ACAD,US,BBG000BHG9K0,Common Stock,Equity,BBG001SB06N3,Common Stock,ACAD,,,ACADIA PHARMACEUTICALS INC,NMS,US0042251084,ACADIA PHARMACEUTICALS INC,ACAD,United States of America
68,BBG000BJGD54,ACADIA REALTY TRUST,AKR,US,BBG000BJGD54,REIT,Equity,BBG001S7KXT5,REIT,AKR,,,ACADIA REALTY TRUST,AKR,US0042391096,ACADIA REALTY TRUST,AKR,United States of America
69,BBG000M62MY3,ACADIAN TIMBER CORP,ADN,CN,BBG000M62MY3,Common Stock,Equity,BBG001SQ8714,Common Stock,ADN,,,ACADIAN TIMBER CORP,ADN,CA0042721005,ACADIAN TIMBER CORP,ADN,Canada
70,BBG00182VCS3,ACASTI PHARMA INC,ACST,CN,BBG00182VCS3,Common Stock,Equity,BBG001SFYCM5,Common Stock,ACST,,,ACASTI PHARMA INC,SCM,CA00430K8730,ACASTI PHARMA INC,ACST,United States of America
71,BBG00325DVR7,ACCELERA INNOVATIONS INC,ACNV,US,BBG00325DVR7,Common Stock,Equity,BBG00325DWJ4,Common Stock,ACNV,,,ACCELERA INNOVATIONS INC,NOINFO,US00434W1053,ACCELERA INNOVATIONS INC,ACNV,United States of America
72,BBG00D8FFD31,ACCELERON PHARMA INC,XLRNEUR,XS,BBG00D8FFCM2,Common Stock,Equity,BBG001T95WZ2,Common Stock,XLRNEUR,,,ACCELERON PHARMA INC,XLRN,US00434H1086,ACCELERON PHARMA INC,XLRN,United States of America
73,BBG000QV75L0,ACCELEWARE LTD,AXE,CN,BBG000QV75L0,Common Stock,Equity,BBG001SNRWN1,Common Stock,AXE,,,ACCELEWARE LTD,AXE,CA00433V1085,ACCELEWARE LTD,AXE,Canada
74,BBG000BQFF27,ACCELL GROUP,ACCEL,NA,BBG000BQFDC1,Common Stock,Equity,BBG001S9GYW0,Common Stock,ACCEL,,,ACCELL GROUP,ACCEL,NL0009767532,ACCELL GROUP,ACCEL,Netherlands
75,,,,,,,,,,,,,ACCELPATH INC,ACLP,US00433U2096,ACCELPATH INC,ACLP,
76,BBG000C277B6,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,IN,BBG000C277B6,Common Stock,Equity,BBG001SD8F60,Common Stock,ACCELYA,,,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,INE793A01012,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,India
77,BBG000CHSVJ9,ACCENT GROUP LTD,AX1,AU,BBG000CHSVJ9,Common Stock,Equity,BBG001SFF0R7,Common Stock,AX1,,,ACCENT GROUP LTD,AX1,AU000000AX19,ACCENT GROUP LTD,AX1,Australia
78,,,,,,,,,,,,,ACCENTIA BIOPHARMACEUTICALS,ABPI,US00430L1035,ACCENTIA BIOPHARMACEUTICALS,ABPI,
79,BBG000FGF6X1,ACCESS CO LTD,4813,JP,BBG000FGF6X1,Common Stock,Equity,BBG001SFQ6Q3,Common Stock,4813,,,ACCESS CO LTD,4813,JP3108060009,ACCESS CO LTD,4813,Japan
80,BBG00M5133R4,ACCESS GROUP HOLDINGS CO LTD,7042,JP,BBG00M5133R4,Common Stock,Equity,BBG00M5133S3,Common Stock,7042,,,ACCESS GROUP HOLDINGS CO LTD,7042,JP3108190004,ACCESS GROUP HOLDINGS CO LTD,7042,Japan
81,BBG000BBRX00,ACCESS-POWER & CO INC,ACCR,US,BBG000BBRX00,Common Stock,Equity,BBG001S5WSH0,Common Stock,ACCR,,,ACCESS-POWER & CO INC,CURRENT,US00431N1081,ACCESS-POWER & CO INC,ACCR,United States of America
82,BBG000DZ5TN3,ACCESSO TECHNOLOGY GROUP PLC,ACSO,LN,BBG000DZ5TD4,Common Stock,Equity,BBG001SH73L2,Common Stock,ACSO,,,ACCESSO TECHNOLOGY GROUP PLC,AMSM,GB0001771426,ACCESSO TECHNOLOGY GROUP PLC,ACSO,United Kingdom
83,,,,,,,,,,,,,ACCIDENT EXCHANGE GROUP PLC,ACE,GB00B00LL325,ACCIDENT EXCHANGE GROUP PLC,ACE,
84,BBG000BMJCK9,ACCIONA SA,ANA,SM,BBG000BMJCK9,Common Stock,Equity,BBG001S9RSB4,Common Stock,ANA,,,ACCIONA SA,ANA,ES0125220311,ACCIONA SA,ANA,Spain
85,BBG000J06K07,ACCO BRANDS CORP,ACCO,US,BBG000J06K07,Common Stock,Equity,BBG001SPBTK3,Common Stock,ACCO,,,ACCO BRANDS CORP,ACCO,US00081T1088,ACCO BRANDS CORP,ACCO,United States of America
86,BBG000BB4980,ACCOR SA,AC,FP,BBG000BB48R1,Common Stock,Equity,BBG001S5SYP3,Common Stock,AC,,,ACCOR SA,ACCN,FR0000120404,ACCOR SA,ACCN,Mexico
87,BBG000CF29Z2,ACCORD FINANCIAL CORP,ACD,CN,BBG000CF29Z2,Common Stock,Equity,BBG001S6TRL9,Common Stock,ACD,,,ACCORD FINANCIAL CORP,ACD,CA00435L1085,ACCORD FINANCIAL CORP,ACD,Canada
88,BBG00L8RV7Q7,ACCRETE INC,4395,JP,BBG00L8RV7Q7,Common Stock,Equity,BBG00L8RV7R6,Common Stock,4395,,,ACCRETE INC,4395,JP3108180005,ACCRETE INC,4395,Japan
89,BBG00CZV0M61,ACCROL GROUP HOLDINGS PLC,ACRL,LN,BBG00CZV0M43,Common Stock,Equity,BBG00CZV0M52,Common Stock,ACRL,,,ACCROL GROUP HOLDINGS PLC,AMSM,GB00BZ6VT592,ACCROL GROUP HOLDINGS PLC,ACRL,United Kingdom
90,BBG000FLLXW5,ACCSYS TECHNOLOGIES PLC,AXS,EU,BBG000FLLX73,Common Stock,Equity,BBG001SNM8Q6,Common Stock,AXS,,,ACCSYS TECHNOLOGIES PLC,AXS,GB00BQQFX454,ACCSYS TECHNOLOGIES PLC,AXS,Netherlands
91,BBG00L8QRSD2,ACCURACY SHIPPING LTD,ACCURACY,IN,BBG00L8QRSD2,Common Stock,Equity,BBG00L8QRSK4,Common Stock,ACCURACY,,,ACCURACY SHIPPING LTD,ACCURACY,INE648Z01015,ACCURACY SHIPPING LTD,ACCURACY,India
92,BBG000CK4RX1,ACCURAY INC,XEJ,GR,BBG000CK4RX1,Common Stock,Equity,BBG001SFHKJ0,Common Stock,XEJ,,,ACCURAY INC,NMS,US0043971052,ACCURAY INC,ARAY,Germany
93,,,,,,,,,,,,,ACCURIDE CORP,ACW,US00439T2069,ACCURIDE CORP,ACW,
94,BBG00H2CQSL0,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,IN,BBG00H2CQSL0,Common Stock,Equity,BBG00H2CQSR4,Common Stock,ACEINTEG,,,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,INE543V01017,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,India
95,BBG0018YYFX7,ACELRX PHARMACEUTICALS INC,ACRX,US,BBG0018YYFX7,Common Stock,Equity,BBG001TFZCK5,Common Stock,ACRX,,,ACELRX PHARMACEUTICALS INC,NMS,US00444T1007,ACELRX PHARMACEUTICALS INC,ACRX,United States of America
96,BBG002JZBTD7,ACENCIA DEBT STRATEGIES LTD,ACD,ID,BBG000PNVNH8,Closed-End Fund,Equity,BBG001SK5NF0,Mutual Fund,ACD,,,ACENCIA DEBT STRATEGIES LTD,ACD,GB00B0MSB420,ACENCIA DEBT STRATEGIES LTD,ACD,
97,BBG000F160X7,ACER INC-SPONSORED GDR REG S,ACID,LI,BBG000F160H5,GDR,Equity,BBG001S8G3Y8,Depositary Receipt,ACID,,,ACER INC-SPONSORED GDR REG S,IOBE,US0044342055,ACER INC-SPONSORED GDR REG S,ACID,
98,BBG000BG5S59,ACER THERAPEUTICS INC,ACER,US,BBG000BG5S59,Common Stock,Equity,BBG001S7Q351,Common Stock,ACER,,,ACER THERAPEUTICS INC,SCM,US00444P1084,ACER THERAPEUTICS INC,ACER,United States of America
99,BBG000NL1F93,ACERUS PHARMACEUTICALS CORP,ASP,CN,BBG000NL1F93,Common Stock,Equity,BBG001T570D2,Common Stock,ASP,,,ACERUS PHARMACEUTICALS CORP,ASPCF,CA00444G4051,ACERUS PHARMACEUTICALS CORP,ASPCF,United States of America
100,BBG000BSS246,ACESIAN PARTNERS LTD,ACP,SP,BBG000BSS1T1,Common Stock,Equity,BBG001SBYDM2,Common Stock,ACP,,,ACESIAN PARTNERS LTD,5FW,SG1Q66923448,ACESIAN PARTNERS LTD,5FW,Singapore
101,,,,,,,,,,,,,ACHEM TECHNOLOGY CORP,1715,TW0001715001,ACHEM TECHNOLOGY CORP,1715,
102,BBG000BL1H74,ACHILLES CORP,5142,JP,BBG000BL1H74,Common Stock,Equity,BBG001S6FCR1,Common Stock,5142,,,ACHILLES CORP,5142,JP3108000005,ACHILLES CORP,5142,Japan
103,BBG0083Y2KV3,ACHILLION PHARMACEUTICALS,ACHNEUR,XS,BBG0083Y2KC4,Common Stock,Equity,BBG001SB7LL5,Common Stock,ACHNEUR,,,ACHILLION PHARMACEUTICALS,XETRA,US00448Q2012,ACHILLION PHARMACEUTICALS,ADA,Germany
104,BBG000BVKJD0,ACI GLOBAL CORP,ACGJ,US,BBG000BVKJD0,Common Stock,Equity,BBG001S74T58,Common Stock,ACGJ,,,ACI GLOBAL CORP,ACGJ,US0008751044,ACI GLOBAL CORP,ACGJ,
105,BBG000HYVZR5,ACI WORLDWIDE INC,TSA,GR,BBG000HYVZR5,Common Stock,Equity,BBG001S9KLL5,Common Stock,TSA,,,ACI WORLDWIDE INC,NMS,US0044981019,ACI WORLDWIDE INC,ACIW,Germany
106,BBG000BPWGD6,ACKERMANS & VAN HAAREN,ACKB,BB,BBG000BPWG46,Common Stock,Equity,BBG001SDNB44,Common Stock,ACKB,,,ACKERMANS & VAN HAAREN,ACKB,BE0003764785,ACKERMANS & VAN HAAREN,ACKB,Belgium
107,BBG000BKPFT0,ACKROO INC,AKR,CN,BBG000BKPFT0,Common Stock,Equity,BBG001S93012,Common Stock,AKR,,,ACKROO INC,CURRENT,CA00461T2074,ACKROO INC,AKRFF,United States of America
