,marketName,longName,isin
0,NMS,ACI WORLDWIDE INC,US0044981019
0,ACKB,ACKERMANS & VAN HAAREN,BE0003764785
0,CURRENT,ACKROO INC,CA00461T2074
0,NMS,ACLARIS THERAPEUTICS INC,US00461U1051
0,NMS,ACM RESEARCH INC-CLASS A,US00108J1097
0,ACU,ACME UNITED CORP,US0048161048
0,6888,ACMOS INC,JP3108100003
0,SCM,ACNB CORP,US0008681092
0,8572,ACOM CO LTD,JP3108600002
9,ACX,ACONEX LTD,AU000000ACX1
0,NMS,ACORDA THERAPEUTICS INC,US00484M6012
1,ACQ,ACORN CAPITAL INVESTMENT FUN,AU000000ACQ5
0,ACFN,ACORN ENERGY INC,US0048481073
1,ATV,ACORN INTERNATIONAL INC-ADR,US0048542049
0,AIII,ACRE REALTY INVESTORS INC,US00489F1066
0,ACRGF,ACREAGE HOLDINGS INC-SUB,CA00489Y4022
0,ACF,ACROW FORMWORK AND CONSTRUCT,AU0000006124
4,ACT,ACTELION LTD-REG,CH0010532478
0,ATIC,ACTIC GROUP AB,SE0009269467
0,ATNM,ACTINIUM PHARMACEUTICALS INC,US00507W2061
0,ACW,ACTINOGEN MEDICAL LTD,AU000000ACW3
9,ACE,ACTION CONSTRUCTION EQUIPMEN,INE731H01025
3,ASQ1,ACTIVE ENERGY GROUP PLC,GB00BPG7NS80
0,ACARQ,ACTIVECARE INC,US0050573023
0,3279,ACTIVIA PROPERTIES INC,JP3047490002
0,NMS,ACTIVISION BLIZZARD INC,US00507V1098
0,ASQ1,ACTUAL EXPERIENCE PLC,GB00BJ05QC14
0,AYI,ACUITY BRANDS INC,US00508Y1029
0,AT,ACUITYADS HOLDING INC,CA00510L1067
0,LIMITED,ACURA PHARMACEUTICALS INC,US00509L8028
0,GOLF,ACUSHNET HOLDINGS CORP,US0050981085
0,NOINFO,ACUSPHERE INC,US00511R8549
0,ADSYQ,AD SYSTEMS COMMUNICATIONS IN,US00515Q1004
0,ADA,ADACEL TECHNOLOGIES LIMITED,AU000000ADA7
0,ADH,ADAIRS LTD,AU000000ADH2
0,1AD,ADALTA LTD,AU0000001AD2
0,000553,ADAMA LTD-A,CNE0000004V0
0,ADAC,ADAMA TECHNOLOGIES CORP,US00547Q3002
0,ADMS,ADAMAS PHARMACEUTICALS INC,US00548A1060
1,ADZ,ADAMERA MINERALS CORP,CA00547Y1051
0,SCM,ADAMIS PHARMACEUTICALS CORP,US00547W2089
1,PEO,ADAMS NATURAL RESOURCES FUND,US00548F1057
1,ASQ1,ADAMS PLC,IM00B986V543
0,ADANIENT,ADANI ENTERPRISES LTD,INE423A01024
0,ADANIGREE,ADANI GREEN ENERGY LTD,INE364U01010
0,ADANIPORT,ADANI PORTS AND SPECIAL ECON,INE742F01042
0,ADANIPOWE,ADANI POWER LIMITED,INE814H01011
0,ADANITRAN,ADANI TRANSMISSION LTD,INE931S01010
0,NMS,ADAPTIMMUNE THERAPEUTICS-ADR,US00653A1079
0,CURRENT,ADAPTIVE AD SYSTEMS INC,US00650A1007
0,NMS,ADAPTIVE BIOTECHNOLOGIES,US00650F1093
0,NOINFO,ADAPTIVE MEDIAS INC,US00652J2087
0,2685,ADASTRIA CO LTD,JP3856000009
2,ADK,ADCARE HEALTH SYSTEMS INC,US00650W3007
0,ADCO,ADCORE INC,CA00654B1040
0,CURRENT,ADDENTAX GROUP CORP,US00653L2025
1,XETRA,ADDEX THERAPEUTICS LTD,CH0029850754
0,XETRA,ADDIKO BANK AG,AT000ADDIKO0
0,000547,ADDSINO CO LTD -A,CNE000000DM5
0,NMS,ADDUS HOMECARE CORP,US0067391062
0,A31,ADDVALUE TECHNOLOGIES LTD,SG1I67883666
0,XETRA,ADECCO GROUP AG-REG,CH0012138605
0,4401,ADEKA CORP,JP3114800000
1,AYT,ADELAIDE-ASSET BACK YIELD TR,AU000000AYT3
0,ADPTQ,ADEPTUS HEALTH INC-CLASS A,US0068551003
0,IOTS,ADESTO TECHNOLOGIES CORP,US00687D1019
0,ADE,ADEX MINING INC,CA0069032070
0,ADFFOODS,ADF FOODS LTD,INE982B01019
0,DRX,ADF GROUP INC,CA00089N1033
0,CURRENT,ADHERA THERAPEUTICS INC,US00687E1091
0,ADR,ADHERIUM LTD,AU000000ADR1
0,ADHUNIK,ADHUNIK METALIKS LTD,INE400H01019
0,SCM,ADIAL PHARMACEUTICALS INC,US00688A1060
1,ADSN,ADIDAS AG,DE000A1EWWW0
0,INTPREMQX,ADIDAS AG-SPONSORED ADR,US00687A1079
0,ADNT,ADIENT PLC,IE00BD845X29
0,CURRENT,ADIRONDACK TRUST CO SARATOGA,US0070141033
0,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,INE674K01013
0,BIRLAMONE,ADITYA BIRLA MONEY LTD,INE865C01022
0,NMS,ADMA BIOLOGICS INC,US0008991046
0,NMS,ADOBE INC,US00724F1012
0,ADORWELD,ADOR WELDING LTD,INE045A01017
0,ADPN,ADP,FR0010340141
1,ADT,ADRIATIC METALS PLC-CDI,AU0000004772
0,ADROITINF,ADROIT INFOTECH LTD,INE737B01033
0,ADST,ADSTAR INC,US00737P1049
0,ATGE,ADTALEM GLOBAL EDUCATION INC,US00737L1035
0,6668,ADTEC PLASMA TECHNOLOGY CO,JP3122010006
0,ADVN,ADVAL TECH HOLDING AG-REG,CH0008967926
0,AAP,ADVANCE AUTO PARTS INC,US00751Y1064
0,3773,ADVANCED MEDIA INC,JP3122150000
0,NMS,ADVANCED MICRO DEVICES,US0079031078
0,43Q,ADVANCER GLOBAL LTD,SG1CJ7000006
0,5998,ADVANEX INC,JP3213400009
0,ADVANIHOT,ADVANI HOTELS & RES (INDIA),INE199C01026
0,ASIX,ADVANSIX INC,US00773T1016
0,AVLIF,ADVANTAGE LITHIUM CORP,CA00782P1080
0,AVLIF,ADVANTAGE LITHIUM CORP,CA00782P1080
0,8769,ADVANTAGE RISK MANAGEMENT CO,JP3122410008
1,AOC,ADVANTAGEWON OIL CORP,CA00775L2057
0,NOINFO,ADVANTEGO CORP,US00775N1028
0,6857,ADVANTEST CORP,JP3122400009
0,ADVT,ADVANTIS CORP,US0076141003
0,PRIMQX,ADVAXIS INC,US0076244062
0,6030,ADVENTURE INC,JP3122380003
0,ADZN,ADVENTUS MINING CORP,CA00791E1025
0,ADV2,ADVEO GROUP INTERNATIONAL SA,ES0182045312
0,NMS,ADVERUM BIOTECHNOLOGIES INC,US00773U1088
0,NMS,ADVISORSHARES DORSEY WRIGHT,US00768Y2063
2,FNG,ADVSRSHRS NEW TECH AND MEDIA,US00768Y5520
3,ADH,ADVTECH LTD,ZAE000031035
0,2489,ADWAYS INC,JP3121970002
0,XETRA,ADX ENERGY LTD,AU000000ADX9
0,NOINFO,ADYNXX INC,US00784D1037
0,000738,AECC AERO-ENGINE CONTROL-A,CNE000000RM5
0,ACM,AECOM,US00766T1007
10,AED,AED OIL LTD,AU000000AED9
0,AEGN,AEGION CORP,US00770F1049
0,AEGISCHEM,AEGIS LOGISTICS LTD,INE208C01025
0,NMS,AEGLEA BIOTHERAPEUTICS INC,US00773J1034
23,AWX,AEM HOLDINGS LTD,SG1BA1000003
0,NMS,AEMETIS INC,US00770K2024
0,NOINFO,AEOLUS PHARMACEUTICALS INC,US00765G1094
0,600469,AEOLUS TYRE CO LTD-A,CNE000001G46
0,8570,AEON FINANCIAL SERVICE CO LT,JP3131400008
0,AGHC,AEON GLOBAL HEALTH CORP,US00774U1079
0,8905,AEON MALL CO LTD,JP3131430005
0,AML,AEON METALS LTD,AU000000AML5
0,AQSZF,AEQUUS PHARMACEUTICALS INC,CA0076361033
0,AER,AERCAP HOLDINGS NV,NL0000687663
0,NMS,AERIE PHARMACEUTICALS INC,US00771V1089
1,AEI,AERIS ENVIRONMENTAL LTD,AU000000AEI8
0,AIS,AERIS RESOURCES LTD,AU000000AIS8
0,PRIMQX,AERKOMM INC,US00774B2088
0,AERP,AERO PERFORMANCE PRODUCTS,US00768W1018
3,ARX,AEROFLEX HOLDING CORP,US0077671065
3,AFLT,AEROFLOT PJSC,RU0009062285
0,LIMITED,AEROFLOT-RUSSIAN-SPN ADR,US69343R3093
0,AJRD,AEROJET ROCKETDYNE HOLDINGS,US0078001056
0,600677,AEROSPACE COMMUNICATIONS -A,CNE000000BS6
0,000901,AEROSPACE HI-TECH HOLDINGS-A,CNE000000Y86
0,600501,AEROSUN CORP-A,CNE000001857
0,AOTL,AEROTELESIS INC,US0080412044
0,NMS,AEROVIRONMENT INC,US0080731088
4,8341,AESO HOLDING LTD,KYG0113B1288
0,AEZS,AETERNA ZENTARIS INC,CA0079755017
0,ATHR,AETHER CATALYST SOLUTIONS IN,CA00810C1032
1,AET,AETNA INC,US00817Y1082
1,HE8,AETNA INC,US00817Y1082
1,HE8,AETNA INC,US00817Y1082
0,GNMX,AEVI GENOMIC MEDICINE INC,US00835P1057
0,AEVS,AEVIS VICTORIA SA,CH0478634105
0,L38,AF GLOBAL LTD,SG1C01001033
0,SSX4,AFARAK GROUP OYJ,FI0009800098
0,AMSM,AFC ENERGY PLC,GB00B18S7B29
0,AFHL,AFCON HOLDINGS LTD,IL0005780130
0,AMG,AFFILIATED MANAGERS GROUP,US0082521081
0,ABVG,AFFINITY BEVERAGE GROUP INC,US00831F1012
0,AEB,AFFINITY ENERGY AND HEALTH L,AU000000AEB3
0,NOINFO,AFFINITY GOLD CORP,US00829M1009
0,AFF,AFFINITY METALS CORP,CA00827Y1060
0,AFFN,AFFINITY NETWORKS INC,US00829L1026
1,AFI,AFFINOR GROWERS INC,CA00830Q3061
0,AFFMQ,AFFIRMATIVE INSURANCE HOLDIN,US0082721061
4,1466,AFFLUENT PARTNERS HOLDINGS,KYG0130B1014
0,NOINFO,AFFYMAX INC,US00826A1097
0,AFID,AFI DEVELOPMENT PLC-GDR REGS,US00106J2006
0,AFL,AFLAC INC,US0010551028
1,AFR,AFREN PLC,GB00B0672758
0,CURRENT,AFRICA ENERGY CORP,CA00830W1059
0,AFRE,AFRICA ISRAEL RESIDENCES LTD,IL0010979487
0,CURRENT,AFRICA OIL CORP,CA00829Q1019
0,ACCS,AFRICAN COPPER CORP,US00830V1070
2,A1G,AFRICAN GOLD LTD,AU0000036949
0,AFMCF,AFRICAN METALS CORP,CA0082872031
0,AMLZF,AFRICAN MINERALS LTD,BMG0114P1005
24,ARI,AFRICAN RAINBOW MINERALS LTD,ZAE000054045
1,ASQ1,AFRITIN MINING LTD,GG00BD95V148
0,NOINFO,AFTERMASTER INC,US00831X1028
0,AFY,AFTERPAY HOLDINGS LTD,AU000000AFY2
0,CURRENT,AG GROWTH INTERNATIONAL INC,CA0011811068
0,MITT,AG MORTGAGE INVESTMENT TRUST,US0012285013
0,AGARIND,AGARWAL INDUSTRIAL CORPORATI,INE204E01012
0,5201,AGC INC,JP3112000009
0,AGCO,AGCO CORP,US0010841023
0,UAVS,AGEAGLE AERIAL SYSTEMS INC,US00848K1016
1,AU1,AGENCY GROUP AUSTRALIA LTD,AU000000AU12
0,CURRENT,AGENT INFORMATION SOFTWARE I,US00847D1081
0,AGMC,AGENT155 MEDIA CORP,US00845C1027
0,SCM,AGENUS INC,US00847G7051
1,AGE,AGEX THERAPEUTICS INC,US00848H1086
0,CURRENT,AGF MANAGEMENT LTD-CLASS B,CA0010921058
0,LIMITED,AGFA GEVAERT NV-UNSPON ADR,US00846M1099
0,AGK,AGGREKO PLC,GB00BK1PTB77
0,3383,AGILE GROUP HOLDINGS LTD,KYG011981035
0,SCM,AGILE THERAPEUTICS INC,US00847L2097
0,A,AGILENT TECHNOLOGIES INC,US00846U1016
0,NMS,AGILYSYS INC,US00847J1051
0,NMS,AGIOS PHARMACEUTICALS INC,US00847X1046
3,AGI,AGIPLAN TECHNOSOFT AG,DE0005870356
4,AJX,AGJUNCTION INC,CA00847V1085
0,AGL,AGL ENERGY LTD,AU000000AGL7
1,GAS,AGL RESOURCES INC,US0012041069
0,SCM,AGM GROUP HOLDINGS INC,VGG0132V1058
0,NMS,AGNC INVESTMENT CORP,US00123Q6098
0,NMS,AGNC INVESTMENT CORP,US00123Q6098
0,AEM,AGNICO EAGLE MINES LTD,CA0084741085
0,AGHI,AGORA HOLDINGS INC,US00848N3035
0,9704,AGORA HOSPITALITY GROUP CO L,JP3561200001
0,3467,AGRATIO URBAN DESIGN INC,JP3108170006
0,GRO,AGRIA CORP - ADR,US00850H1032
0,1288,AGRICULTURAL BANK OF CHINA-H,CNE100000Q43
0,EURI,AGRIEURO CORP,US00853R1086
1,AMN,AGRIMIN LTD,AU000000AMN1
3,ANO,AGRIMINCO CORP,CA00855X1033
26,AGRO,AGRIOS GLOBAL HOLDINGS LTD,CA00856K1003
0,FBER,AGRITECH WORLDWIDE INC,US00856P1093
0,NOINFO,AGRITEK HOLDINGS INC,US00856J2024
0,AMSM,AGRITERRA LTD,GG00BDG13C09
0,AGU,AGRIUM INC,CA0089161081
0,CURRENT,AGRO CAPITAL MANAGEMENT CORP,US00856H3057
0,AGROPHOS,AGRO PHOS INDIA LTD,INE740V01019
0,ATFL,AGRO TECH FOODS LTD,INE209A01019
0,4955,AGRO-KANESHO CO LTD,JP3108200001
0,NMS,AGROFRESH SOLUTIONS INC,US00856G1094
16,AGL,AGROLIGA GROUP PLC,CY0101452114
24,AGT,AGROTON PUBLIC LTD,CY0101062111
4,8279,AGTECH HOLDINGS LTD,BMG0135Z1032
0,AGRL,AGUIA RESOURCES LTD,AU000000AGR4
0,AHIMSA,AHIMSA INDUSTRIES LTD,INE136T01014
0,5852,AHRESTY CORP,JP3100600000
0,3076,AI HOLDINGS CORP,JP3105090009
0,AIEQ,AI POWERED EQUITY ETF,US26924G8134
0,AIAENG,AIA ENGINEERING LTD,INE212H01026
0,1299,AIA GROUP LTD,HK0000069689
0,5482,AICHI STEEL CORP,JP3103600007
0,6118,AIDA ENGINEERING LTD,JP3102400003
0,8515,AIFUL CORP,JP3105040004
0,9854,AIGAN CO LTD,JP3101000002
0,SCM,AILERON THERAPEUTICS INC,US00887A1051
0,AIMT,AIMMUNE THERAPEUTICS INC,US00900T1079
0,9627,AIN HOLDINGS INC,JP3105250009
0,AINO,AINO HEALTH AB,SE0009242555
0,AGI,AINSWORTH GAME TECHNOLOGY LT,AU000000AGI3
0,6718,AIPHONE CO LTD,JP3105050003
0,XETRA,AIR BERLIN PLC,GB00B128C026
1,AC,AIR CANADA,CA0089118776
0,CURRENT,AIR CHINA LTD-SPONSORED-ADR,US00910M1009
0,XETRA,AIR FRANCE-KLM,FR0000031122
0,APD,AIR PRODUCTS & CHEMICALS INC,US0091581068
0,AIRAN,AIRAN LTD,INE645W01026
0,NOINFO,AIRBORNE SECURITY & PROTECTI,US00927Q1022
0,NOINFO,AIRBORNE WIRELESS NETWORK,US00928L3006
0,BOS,AIRBOSS OF AMERICA CORP,CA00927V2003
1,AIR,AIRBUS SE,NL0000235190
0,AYR,AIRCASTLE LTD,BMG0129K1045
0,SCM,AIRGAIN INC,US00938A1043
4,ARG,AIRGAS INC,US0093631028
0,IQ,AIRIQ INC,CA0091204036
0,SCM,AIRNET TECHNOLOGY INC-ADR,US00941Q1040
0,CSSA,AIROPACK TECHNOLOGY GROUP AG,CH0242606942
0,ARPT,AIRPORT CITY LTD,IL0010958358
0,8864,AIRPORT FACILITIES CO LTD,JP3266050008
0,LIMITED,AIRPORTS OF THAILAND PCL-ADR,US00950R1005
0,AIRO,AIRSPAN NETWORKS INC,US00950H3003
0,6291,AIRTECH JAPAN LTD,JP3688100001
0,SET1,AIRTEL AFRICA PLC,GB00BKDRYJ47
0,ATCH,AIRTOUCH COMMUNICATIONS INC,US00951E1082
0,6191,AIRTRIP CORP,JP3167240005
0,7283,AISAN INDUSTRY CO LTD,JP3101600009
0,4667,AISAN TECHNOLOGY CO LTD,JP3101800005
0,600271,AISINO CORP-A,CNE000001FB1
0,ASYI,AISYSTEMS INC,US0014361044
0,9381,AIT CORP,JP3160050005
0,XETRA,AIXTRON SE,DE000A0WMPJ6
0,STMM,AJ BELL PLC,GB00BFZNLB60
0,AJL,AJ LUCAS GROUP LIMITED,AU000000AJL1
0,AJANTPHAR,AJANTA PHARMA LTD,INE031B01049
0,2802,AJINOMOTO CO INC,JP3119600009
0,AJMERA,AJMERA REALTY & INFRA INDIA,INE298G01027
4,1789,AK MEDICAL HOLDINGS LTD,KYG020141019
0,AKS,AK STEEL HOLDING CORP,US0015471081
0,NMS,AKAMAI TECHNOLOGIES INC,US00971T1016
0,SCM,AKARI THERAPEUTICS PLC-ADR,US00972G1085
0,1997,AKATSUKI EAZIMA CO LTD,JP3131000006
0,AKCA,AKCEA THERAPEUTICS INC,US00972L1070
0,NMS,AKEBIA THERAPEUTICS INC,US00972D1054
0,7238,AKEBONO BRAKE INDUSTRY CO,JP3108400007
0,AKER,AKER ASA-A SHARES,NO0010234552
0,LIMITED,AKER SOLUTIONS ASA-UNSP ADR,US00973M1045
0,SCM,AKERNA CORP,US00973W1027
0,NMS,AKERO THERAPEUTICS INC,US00973Y1082
0,1380,AKIKAWA FOODS & FARMS CO LTD,JP3107400008
0,8343,AKITA BANK LTD/THE,JP3107600003
0,CURRENT,AKITA DRILLING LTD-CL A,CA0099051009
0,AKRXQ,AKORN INC,US0097281069
0,SCM,AKOUSTIS TECHNOLOGIES INC,US00973N1028
0,AKSHOPTFB,AKSH OPTIFIBRE LIMITED,INE523B01011
0,AKSHARCHE,AKSHARCHEM INDIA LTD,INE542B01011
0,AKTIA,AKTIA BANK OYJ,FI4000058870
2,AKVA,AKVA GROUP ASA,NO0003097503
0,AKZOINDIA,AKZO NOBEL INDIA LTD,INE133A01011
0,AKZA,AKZO NOBEL N.V.,NL0013267909
4,8360,AL GROUP LTD,KYG0149T1195
0,NOINFO,ALABAMA AIRCRAFT INDUSTRIES,US01023E1001
33,ASR,ALACER GOLD CORP,CA0106791084
0,ASPT,ALADDIN SEPARATION TECH INC,US01073B1052
0,ALG,ALAMO GROUP INC,US0113111076
1,AGI,ALAMOS GOLD INC-CLASS A,CA0115321089
0,NOINFO,ALANCO TECHNOLOGIES INC,US0116127020
0,ALANKIT,ALANKIT LTD,INE914E01040
0,AUQ,ALARA RESOURCES LTD,AU000000AUQ7
0,NMS,ALARM.COM HOLDINGS INC,US0116421050
0,ALK,ALASKA AIR GROUP INC,US0116591092
0,AKGC,ALASKA GOLD CORP,US0117061087
0,NOINFO,ALASKA PACIFIC ENERGY CORP,US0117584062
0,LIMITED,ALASKA POWER & TELEPHONE CO,US0117642068
0,ASQ1,ALBA MINERAL RESOURCES PLC,GB00B06KBB18
0,XETRA,ALBA SE,DE0006209901
0,AIN,ALBANY INTL CORP-CL A,US0123481089
0,ALB,ALBEMARLE CORP,US0126531013
0,ALBERTDAV,ALBERT DAVID LTD,INE155C01010
0,3906,ALBERT INC,JP3126460009
0,ALAC,ALBERTON ACQUISITION CORP,VGG350061088
0,ALAC,ALBERTON ACQUISITION CORP,VGG350061088
0,SSQ3,ALBION DEVELOPMENT VCT PLC,GB0004832472
0,SSQ3,ALBION TECHNOLOGY & GENERAL,GB0005581672
0,SCM,ALBIREO PHARMA INC,US01345P1066
0,ALCAD,ALCADON GROUP AB,SE0008732218
2,ALU,ALCATEL-LUCENT-SPONSORED ADR,US0139043055
0,AEFS,ALCENTRA EUROPEAN FLOATING R,GG00BL649943
0,ALCHEM,ALCHEMIST LTD,INE964B01033
0,ALMY,ALCHEMY CREATIVE INC,US01374L1098
0,ALY,ALCHEMY RESOURCES LTD,AU000000ALY0
1,ALC,ALCIDION GROUP LTD,AU000000ALC6
0,AA,ALCOA CORP,US0138721065
0,3036,ALCONIX CORP,JP3126210008
0,ALDE,ALDEBARAN RESOURCES INC,CA01408J1049
0,AL8,ALDERAN RESOURCES LTD,AU000000AL88
7,ALD,ALDERMORE GROUP PLC,GB00BQQMCJ47
0,IRON,ALDERON IRON ORE CORP,CA01434T1003
0,IRON,ALDERON IRON ORE CORP,CA01434T1003
0,SCM,ALDEYRA THERAPEUTICS INC,US01438T1060
1,AIW,ALDRIDGE MINERALS INC,CA0144301029
1,AIW,ALDRIDGE MINERALS INC,CA0144301029
0,LEP,ALE PROPERTY GROUP,AU000000LEP0
0,AH,ALEAFIA HEALTH INC,CA01444Q1046
0,NMS,ALECTOR INC,US0144421072
0,ALELIO,ALELION ENERGY SYSTEMS AB,SE0008348072
0,ALEMBICLT,ALEMBIC LIMITED,INE426A01027
0,APLLTD,ALEMBIC PHARMACEUTICALS LTD,INE901L01018
0,SCM,ALERUS FINANCIAL CORP,US01446U1034
0,ALEX,ALEXANDER & BALDWIN INC,US0144911049
0,AZX,ALEXANDRIA MINERALS CORP,CA0151001009
0,AXU,ALEXCO RESOURCE CORP,CA01535P1062
0,ALXN,ALEXION PHARMACEUTICALS INC,US0153511094
0,AJX,ALEXIUM INTERNATIONAL GROUP,AU000000AJX6
0,ALXA,ALEXZA PHARMACEUTICALS INC,US0153842093
1,SSMM,ALFA FINANCIAL SOFTWARE HOLD,GB00BDHXPG30
2,ALFA,ALFA LAVAL AB,SE0000695876
0,2784,ALFRESA HOLDINGS CORP,JP3126340003
0,AGNPF,ALGERNON PHARMACEUTICALS INC,CA01559R4008
0,ALC,ALGOMA CENTRAL CORP,CA0156441077
0,AQN,ALGONQUIN POWER & UTILITIES,CA0158571053
0,ALH,ALHAMBRA RESOURCES LTD.,CA0159021090
