new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
3870,CRCC HIGH-TECH EQUIPMENT C-H,1786,CNE1000023F1,CRCC HIGH-TECH EQUIPMENT C-H,1786,Hong Kong
3871,CREALOGIX HOLDING AG-REG,CLXN,CH0011115703,CREALOGIX HOLDING AG-REG,CLXN,Switzerland
3872,CREATIVE CHINA HOLDINGS LTD,8368,KYG2562P1292,CREATIVE CHINA HOLDINGS LTD,8368,Hong Kong
3873,CREATIVE EDGE NUTRITION INC,FITX,US22528W2052,CREATIVE EDGE NUTRITION INC,FITX,United States of America
3874,CREATIVE ENTERPRISE HOLDINGS,3992,KYG251801034,CREATIVE ENTERPRISE HOLDINGS,3992,Hong Kong
3875,CREATIVE EYE LTD,CREATIVEY,INE230B01021,CREATIVE EYE LTD,CREATIVEY,India
3876,CREATIVE LEARNING CORP,CURRENT,US22529R1068,CREATIVE LEARNING CORP,CLCN,United States of America
3877,CREATIVE REALITIES INC,SCM,US22530J2006,CREATIVE REALITIES INC,CREX,United States of America
3878,CREATIVE TECHNOLOGY LTD,CREAF,SG1A98006814,CREATIVE TECHNOLOGY LTD,CREAF,United States of America
3879,CREDIBLE LABS INC-CDI,CRD,AU000000CRD7,CREDIBLE LABS INC-CDI,CRD,
3880,CREDICORP LTD,BAP,BMG2519Y1084,CREDICORP LTD,BAP,Mexico
3881,CREDIT ACCEPTANCE CORP,NMS,US2253101016,CREDIT ACCEPTANCE CORP,CACC,United States of America
3882,CREDIT AGRICOLE SA,ACA1,FR0000045072,CREDIT AGRICOLE SA,ACA1,Switzerland
3883,CREDIT BANK OF MOSCOW PJSC,CBOM,RU000A0JUG31,CREDIT BANK OF MOSCOW PJSC,CBOM,Russia
3884,CREDIT CORP GROUP LIMITED,CCP,AU000000CCP3,CREDIT CORP GROUP LIMITED,CCP,Australia
3885,CREDIT SAISON CO LTD,8253,JP3271400008,CREDIT SAISON CO LTD,8253,Japan
3886,CREDIT SUISSE ASSET MGMT INC,CIK,US2249161066,CREDIT SUISSE ASSET MGMT INC,CIK,United States of America
3887,CREDIT SUISSE GROUP-SPON ADR,CS,US2254011081,CREDIT SUISSE GROUP-SPON ADR,CS,Mexico
3888,CREDITACCESS GRAMEEN LTD,CREDITACC,INE741K01010,CREDITACCESS GRAMEEN LTD,CREDITACC,India
3889,CREDNOLOGY HOLDING CORP,COHO,US22547L1070,CREDNOLOGY HOLDING CORP,COHO,United States of America
3890,CREEK & RIVER CO LTD,4763,JP3269700005,CREEK & RIVER CO LTD,4763,Japan
3891,CREEPY JAR SA,CRJ,PLCRPJR00019,CREEPY JAR SA,CRJ,Poland
3892,CREIGHTONS PLC,SSQ3,GB0002341666,CREIGHTONS PLC,CRL,United Kingdom
3893,CREO CO LTD,9698,JP3271000006,CREO CO LTD,9698,Japan
3894,CREO MEDICAL GROUP PLC,ASQ1,GB00BZ1BLL44,CREO MEDICAL GROUP PLC,CREO,United Kingdom
3895,CRESCENT POINT ENERGY CORP,CPG,CA22576C1014,CRESCENT POINT ENERGY CORP,CPG,United States of America
3896,CRESCITA THERAPEUTICS INC,CTX,CA2258471028,CRESCITA THERAPEUTICS INC,CTX,Canada
3897,CRESCO LTD,4674,JP3271100004,CRESCO LTD,4674,Japan
3898,CRESO PHARMA LTD,CPH,AU000000CPH2,CRESO PHARMA LTD,CPH,Australia
3899,CREST NICHOLSON HOLDINGS,STMM,GB00B8VZXT93,CREST NICHOLSON HOLDINGS,CRST,United Kingdom
3900,CREST RESOURCES INC/CA,CRES,CA22608C1032,CREST RESOURCES INC/CA,CRES,Canada
3901,CREST VENTURES LTD,CREST,INE559D01011,CREST VENTURES LTD,CREST,India
3902,CRESTEC INC,7812,JP3271150009,CRESTEC INC,7812,Japan
3903,CRESTON RESOURCES LTD,CSTJ,US2262701061,CRESTON RESOURCES LTD,CSTJ,
3904,CRESTWOOD EQUITY PARTNERS LP,CEQP,US2263442087,CRESTWOOD EQUITY PARTNERS LP,CEQP,United States of America
3905,CREW ENERGY INC,CURRENT,CA2265331074,CREW ENERGY INC,CWEGF,United States of America
3906,CREXENDO INC,SCM,US2265521078,CREXENDO INC,CXDO,United States of America
3907,CREXUS INVESTMENT CORP,CXS,US2265531051,CREXUS INVESTMENT CORP,CXS,
3908,CRH MEDICAL CORP,CRHM,CA12626F1053,CRH MEDICAL CORP,CRHM,United States of America
3909,CRH PLC-SPONSORED ADR,CRH,US12626K2033,CRH PLC-SPONSORED ADR,CRH,United States of America
3910,CRI MIDDLEWARE CO LTD,3698,JP3346050002,CRI MIDDLEWARE CO LTD,3698,Japan
3911,CRIMSON WINE GROUP LTD,CURRENT,US22662X1000,CRIMSON WINE GROUP LTD,CWGL,United States of America
3912,CRINETICS PHARMACEUTICALS IN,NMS,US22663K1079,CRINETICS PHARMACEUTICALS IN,CRNX,United States of America
3913,CRISIL LTD,CRISIL,INE007A01025,CRISIL LTD,CRISIL,India
3914,CRISPR THERAPEUTICS AG,NMS,CH0334081137,CRISPR THERAPEUTICS AG,CRSP,United States of America
3915,CRITICAL ELEMENTS LITHIUM CO,CRE,CA22675W1077,CRITICAL ELEMENTS LITHIUM CO,CRE,Canada
3916,CRITICAL SOLUTIONS INC,CURRENT,US22675T1043,CRITICAL SOLUTIONS INC,CSLI,United States of America
3917,CROCS INC,NMS,US2270461096,CROCS INC,CROX,United States of America
3918,CRODA INTERNATIONAL PLC,SET1,GB00BJFFLV09,CRODA INTERNATIONAL PLC,CRDA,United Kingdom
3919,CROGHAN BANCSHARES INC,PREMQX,US2270721051,CROGHAN BANCSHARES INC,CHBH,United States of America
3920,CROMPTON GREAVES CONSUMER EL,CROMPTON,INE299U01018,CROMPTON GREAVES CONSUMER EL,CROMPTON,India
3921,CROMWELL PROPERTY GROUP,CMW,AU000000CMW8,CROMWELL PROPERTY GROUP,CMW,Australia
3922,CRONOS GROUP INC,CRON,CA22717L1013,CRONOS GROUP INC,CRON,United States of America
3923,CROPS CORP,9428,JP3273100002,CROPS CORP,9428,Japan
3924,CROSS BORDER RESOURCES INC,NOINFO,US2274431087,CROSS BORDER RESOURCES INC,XBOR,United States of America
3925,CROSS CLICK MEDIA INC,XCLK,US2274621083,CROSS CLICK MEDIA INC,XCLK,
3926,CROSS COUNTRY HEALTHCARE INC,NMS,US2274831047,CROSS COUNTRY HEALTHCARE INC,CCRN,United States of America
3927,CROSS MARKETING GROUP INC,3675,JP3272760004,CROSS MARKETING GROUP INC,3675,Japan
3928,CROSS TIMBERS ROYALTY TRUST,CRT,US22757R1095,CROSS TIMBERS ROYALTY TRUST,CRT,United States of America
3929,CROSSAMERICA PARTNERS LP,CAPL,US22758A1051,CROSSAMERICA PARTNERS LP,CAPL,United States of America
3930,CROSSFOR CO LTD,7810,JP3272650007,CROSSFOR CO LTD,7810,Japan
3931,CROSSWINDS HOLDINGS INC,CWI,CA2276962008,CROSSWINDS HOLDINGS INC,CWI,
3932,CROSSWORD CYBERSECURITY PLC,ASQ1,GB00BNG2LT65,CROSSWORD CYBERSECURITY PLC,CCS,United Kingdom
3933,CROWDGATHER INC,LIMITED,US22787P1075,CROWDGATHER INC,CRWG,United States of America
3934,CROWDSTRIKE HOLDINGS INC - A,NMS,US22788C1053,CROWDSTRIKE HOLDINGS INC - A,CRWD,United States of America
3935,CROWDWORKS INC,3900,JP3267900003,CROWDWORKS INC,3900,Japan
3936,CROWN BAUS CAPITAL CORP,NOINFO,US22821R1014,CROWN BAUS CAPITAL CORP,CBCA,United States of America
3937,CROWN CAPITAL PARTNERS INC,CRWN,CA22821L1040,CROWN CAPITAL PARTNERS INC,CRWN,Canada
3938,CROWN CRAFTS INC,SCM,US2283091005,CROWN CRAFTS INC,CRWS,United States of America
3939,CROWN EQUITY HOLDINGS INC,CURRENT,US22834M3051,CROWN EQUITY HOLDINGS INC,CRWE,United States of America
3940,CROWN HOLDINGS INC,CCK,US2283681060,CROWN HOLDINGS INC,CCK,Germany
3941,CROWN MEDIA HOLDINGS-CLASS A,CRWN,US2284111042,CROWN MEDIA HOLDINGS-CLASS A,CRWN,
3942,CROWN POINT ENERGY INC,CURRENT,CA2284622065,CROWN POINT ENERGY INC,CWVLF,United States of America
3943,CROWNIA HOLDINGS LTD,CNH.H,CA2286981063,CROWNIA HOLDINGS LTD,CNH.H,
3944,CRRC CORP LTD - H,1766,CNE100000BG0,CRRC CORP LTD - H,1766,Hong Kong
3945,CRUISECAM INTL INC.,CCINT,US22878U5020,CRUISECAM INTL INC.,CCINT,
3946,CRYOPORT INC,SCM,US2290503075,CRYOPORT INC,CYRX,United States of America
3947,CRYPTO CO/THE,CRCW,US22906C1027,CRYPTO CO/THE,CRCW,
3948,CRYPTOSTAR CORP,CSTR,CA22905W1095,CRYPTOSTAR CORP,CSTR,Canada
3949,CRYSTAL INTERNATIONAL GROUP,2232,KYG2701R1011,CRYSTAL INTERNATIONAL GROUP,2232,Hong Kong
3950,CRYSTAL PROPERTIES HOLDINGS,CPHG,US22938P1057,CRYSTAL PROPERTIES HOLDINGS,CPHG,
3951,CRYSTAL VALLEY FINANCIAL CP,CURRENT,US22941P1003,CRYSTAL VALLEY FINANCIAL CP,CYVF,United States of America
3952,CRYSTALLEX INTL CORP,KRY,CA22942F1018,CRYSTALLEX INTL CORP,KRY,
3953,CS GROUP SA,SX,FR0007317813,CS GROUP SA,SX,France
3954,CSB BANCORP INC,CURRENT,US12628R1077,CSB BANCORP INC,CSBB,United States of America
3955,CSE GLOBAL LTD,544,SG1G47869290,CSE GLOBAL LTD,544,Singapore
3956,CSG HOLDING CO LTD- A,000012,CNE0000002R2,CSG HOLDING CO LTD- A,000012,China
3957,CSL LIMITED,CSLN,AU000000CSL8,CSL LIMITED,CSLN,Mexico
3958,CSMALL GROUP LTD,1815,KYG2582R1056,CSMALL GROUP LTD,1815,Hong Kong
3959,CSPC PHARMACEUTICAL GROUP LT,1093,HK1093012172,CSPC PHARMACEUTICAL GROUP LT,1093,Hong Kong
3960,CSR LIMITED,CSR,AU000000CSR5,CSR LIMITED,CSR,Australia
3961,CSRA INC,CSRA,US12650T1043,CSRA INC,CSRA,
3962,CSS INDUSTRIES INC,CSS,US1259061075,CSS INDUSTRIES INC,CSS,
3963,CST BRANDS INC,CST,US12646R1059,CST BRANDS INC,CST,Mexico
3964,CSTONE PHARMACEUTICALS,2616,KYG2588M1006,CSTONE PHARMACEUTICALS,2616,Hong Kong
3965,CSW INDUSTRIALS INC,NMS,US1264021064,CSW INDUSTRIALS INC,CSWI,United States of America
3966,CSX CORP,NMS,US1264081035,CSX CORP,CSX,Germany
3967,CTC MEDIA INC,CTCM,US12642X1063,CTC MEDIA INC,CTCM,
3968,CTI BIOPHARMA CORP,SCM,US12648L6011,CTI BIOPHARMA CORP,CTIC,United States of America
3969,CTI ENGINEERING CO LTD,9621,JP3281900005,CTI ENGINEERING CO LTD,9621,Japan
3970,CTL 6 3/4 06/15/57 PFD,CTDD,US74913G8731,CTL 6 3/4 06/15/57 PFD,CTDD,United States of America
3971,CTPARTNERS EXECUTIVE SEARCH,CTPR,US22945C1053,CTPARTNERS EXECUTIVE SEARCH,CTPR,
3972,CTR INVESTMENTS & CONSULTING,CURRENT,US1264532086,CTR INVESTMENTS & CONSULTING,CIVX,
3973,CTS CO LTD,4345,JP3346970001,CTS CO LTD,4345,Japan
3974,CTS EVENTIM AG & CO KGAA,XETRA,DE0005470306,CTS EVENTIM AG & CO KGAA,EVD,Germany
3975,CU BANCORP,CUNB,US1265341065,CU BANCORP,CUNB,
3976,CUB ENERGY INC,KUB,CA22944T1093,CUB ENERGY INC,KUB,Canada
3977,CUBA BEVERAGE CO,LIMITED,US1265241075,CUBA BEVERAGE CO,CUBV,United States of America
3978,CUBE SYSTEM INC,2335,JP3244950006,CUBE SYSTEM INC,2335,Japan
3979,CUBEX TUBINGS LIMITED,CUBEXTUB,INE144D01012,CUBEX TUBINGS LIMITED,CUBEXTUB,India
3980,CUBICFARM SYSTEMS CORP,CUB,CA22968P1080,CUBICFARM SYSTEMS CORP,CUB,Canada
3981,CUE BIOPHARMA INC,SCM,US22978P1066,CUE BIOPHARMA INC,CUE,United States of America
3982,CUE ENERGY RESOURCES LIMITED,CUE,AU000000CUE9,CUE ENERGY RESOURCES LIMITED,CUE,Australia
3983,CUENTAS INC,SCM,US2297942011,CUENTAS INC,CUEN,United States of America
3984,CUISINE SOLUTIONS INC,NOINFO,US2299042067,CUISINE SOLUTIONS INC,CUSI,United States of America
3985,CULLEN RESOURCES LIMITED,CUL,AU000000CUL4,CULLEN RESOURCES LIMITED,CUL,Australia
3986,CULLEN/FROST BANKERS INC,CFR,US2298991090,CULLEN/FROST BANKERS INC,CFR,United States of America
3987,CULP INC,CULP,US2302151053,CULP INC,CULP,United States of America
3988,CULTURAL INVESTMENT HOLDIN-A,600715,CNE000000KY5,CULTURAL INVESTMENT HOLDIN-A,600715,China
3989,CUMBERLAND PHARMACEUTICALS,NMS,US2307701092,CUMBERLAND PHARMACEUTICALS,CPIX,United States of America
3990,CUMMINS INC,CMI,US2310211063,CUMMINS INC,CMI,Germany
3991,CUMMINS INDIA LTD,CUMMINSIN,INE298A01020,CUMMINS INDIA LTD,CUMMINSIN,India
3992,CUMULUS MEDIA INC-CL A,NMS,US2310828015,CUMULUS MEDIA INC-CL A,CMLS,United States of America
3993,CUPID LTD,CUPID,INE509F01011,CUPID LTD,CUPID,India
3994,CURAEGIS TECHNOLOGIES INC,NOINFO,US23127Q1022,CURAEGIS TECHNOLOGIES INC,CRGS,United States of America
3995,CURALEAF HOLDINGS INC,CURA,CA23126M1023,CURALEAF HOLDINGS INC,CURA,Canada
3996,CURASAN AG,XETRA,DE000A2YPGM4,CURASAN AG,CURK,Germany
3997,CURATIVE BIOSCIENCES INC,NOINFO,US23127M1018,CURATIVE BIOSCIENCES INC,CBDX,United States of America
3998,CURE PHARMACEUTICAL HOLDING,CURRENT,US23127P1049,CURE PHARMACEUTICAL HOLDING,CURR,United States of America
3999,CURIS INC,NMS,US2312692005,CURIS INC,CRIS,Germany
4000,CURO GROUP HOLDINGS CORP,CURO,US23131L1070,CURO GROUP HOLDINGS CORP,CURO,United States of America
4001,CURRENCY EXCHANGE INTERNATIO,CXI,US23131B3078,CURRENCY EXCHANGE INTERNATIO,CXI,Canada
4002,CURRENT WATER TECHNOLOGIES I,WATR,CA23131M1059,CURRENT WATER TECHNOLOGIES I,WATR,Canada
4003,CURRIE ROSE RESOURCES,CUI,CA2319005070,CURRIE ROSE RESOURCES,CUI,Canada
4004,CURTIS BANKS GROUP PLC,AMSM,GB00BW0D4R71,CURTIS BANKS GROUP PLC,CBP,United Kingdom
4005,CURTISS MOTORCYCLES CO INC,LIMITED,US2315551034,CURTISS MOTORCYCLES CO INC,CMOT,United States of America
4006,CURTISS-WRIGHT CORP,CW,US2315611010,CURTISS-WRIGHT CORP,CW,Germany
4007,CURZON ENERGY PLC,SSQ3,GB00BD97ND60,CURZON ENERGY PLC,CZN,United Kingdom
4008,CUSHING ENERGY INCOME FUND/T,SRF.USD,US23162T1025,CUSHING ENERGY INCOME FUND/T,SRF.USD,
4009,CUSTODIAN REIT PLC,SSMM,GB00BJFLFT45,CUSTODIAN REIT PLC,CREI,United Kingdom
4010,CUSTOM DESIGNED COMPRESSOR S,NOINFO,US23202P2011,CUSTOM DESIGNED COMPRESSOR S,CPYJ,
4011,CUSTOMERS BANCORP INC,CUBI,US23204G1004,CUSTOMERS BANCORP INC,CUBI,United States of America
4012,CUTERA INC,NMS,US2321091082,CUTERA INC,CUTR,United States of America
4013,CV CHECK LTD,CV1,AU000000CV19,CV CHECK LTD,CV1,Australia
4014,CV HOLDINGS INC,LIMITED,US12661F1012,CV HOLDINGS INC,CVHL,United States of America
4015,CV SCIENCES INC,CVSI,US1266541028,CV SCIENCES INC,CVSI,United States of America
4016,CVB FINANCIAL CORP,NMS,US1266001056,CVB FINANCIAL CORP,CVBF,United States of America
4017,CVD EQUIPMENT CORP,SCM,US1266011030,CVD EQUIPMENT CORP,CVV,United States of America
4018,CVR ENERGY INC,CVI,US12662P1084,CVR ENERGY INC,CVI,United States of America
4019,CVR MEDICAL CORP,CVM,CA1266321084,CVR MEDICAL CORP,CVM,
4020,CVS BAY AREA INC,2687,JP3346250008,CVS BAY AREA INC,2687,Japan
4021,CVS GROUP PLC,AMSM,GB00B2863827,CVS GROUP PLC,CVSG,United Kingdom
4022,CVS HEALTH CORP,CVS,US1266501006,CVS HEALTH CORP,CVS,Mexico
4023,CWC ENERGY SERVICES CORP,CWC,CA12671H1055,CWC ENERGY SERVICES CORP,CWC,Canada
4024,CWT INTERNATIONAL LTD,521,HK0521001989,CWT INTERNATIONAL LTD,521,Hong Kong
4025,CX NETWORK GROUP INC,CURRENT,US12672T1088,CX NETWORK GROUP INC,CXKJ,United States of America
4026,CYANOTECH CORP,SCM,US2324373016,CYANOTECH CORP,CYAN,United States of America
4027,CYBER COM CO LTD,3852,JP3311510006,CYBER COM CO LTD,3852,Japan
4028,CYBER MEDIA INDIA LTD,CYBERMEDI,INE278G01037,CYBER MEDIA INDIA LTD,CYBERMEDI,India
4029,CYBER OPERATIONS INC,CYPJ,US23245E1064,CYBER OPERATIONS INC,CYPJ,
4030,CYBER SECURITY 1 AB,CYB1,SE0007604061,CYBER SECURITY 1 AB,CYB1,
4031,CYBERAGENT INC,4751,JP3311400000,CYBERAGENT INC,4751,Japan
4032,CYBERARK SOFTWARE LTD/ISRAEL,NMS,IL0011334468,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,United States of America
4033,CYBERDYNE INC,7779,JP3311530004,CYBERDYNE INC,7779,Japan
4034,CYBERFORT SOFTWARE INC,NOINFO,US23249C2052,CYBERFORT SOFTWARE INC,CYBF,United States of America
4035,CYBERGY HOLDINGS INC,CYBG,US23248X1019,CYBERGY HOLDINGS INC,CYBG,
4036,CYBERLINKS CO LTD,3683,JP3311540003,CYBERLINKS CO LTD,3683,Japan
4037,CYBERNAUT INTERNATIONAL HOLD,1020,KYG2606Y1026,CYBERNAUT INTERNATIONAL HOLD,1020,Hong Kong
4038,CYBERNET SYSTEMS CO,4312,JP3311570000,CYBERNET SYSTEMS CO,4312,Japan
4039,CYBEROPTICS CORP,NMS,US2325171021,CYBEROPTICS CORP,CYBE,Germany
4040,CYBERTECH SYSTEMS & SOFTWARE,CYBERTECH,INE214A01019,CYBERTECH SYSTEMS & SOFTWARE,CYBERTECH,India
4041,CYBOZU INC,4776,JP3312100005,CYBOZU INC,4776,Japan
4042,CYCLACEL PHARMACEUTICALS INC CNV EXCH 6.0% PFD,SCM,US23254L2079,CYCLACEL PHARMACEUTICALS INC CNV EXCH 6.0% PFD,CYCCP,United States of America
4043,CYCLERION THERAPEUTICS INC,NMS,US23255M1053,CYCLERION THERAPEUTICS INC,CYCN,United States of America
4044,CYCLIQ GROUP LTD,CYQ,AU000000CYQ5,CYCLIQ GROUP LTD,CYQ,Australia
4045,CYCLONE POWER TECHNOLOGIES,CYPW,US23254W1045,CYCLONE POWER TECHNOLOGIES,CYPW,United States of America
4046,CYCLOPHARM LTD,CYC,AU000000CYC5,CYCLOPHARM LTD,CYC,Australia
4047,CYGAM ENERGY LTD,CYG,CA23256A1003,CYGAM ENERGY LTD,CYG,
4048,CYGNUS GOLD LTD,CY5,AU000000CY57,CYGNUS GOLD LTD,CY5,Australia
4049,CYIENT LTD,CYIENT,INE136B01020,CYIENT LTD,CYIENT,India
4050,CYMABAY THERAPEUTICS INC,NMS,US23257D1037,CYMABAY THERAPEUTICS INC,CBAY,United States of America
4051,CYMAT TECHNOLOGIES LTD,CYM,CA23257A2083,CYMAT TECHNOLOGIES LTD,CYM,Canada
4052,CYMBRIA CORP-A,CYB,CA23257X1096,CYMBRIA CORP-A,CYB,Canada
4053,CYNATA THERAPEUTICS LTD,CYP,AU000000CYP7,CYNATA THERAPEUTICS LTD,CYP,Australia
4054,CYNERGISTEK INC/DE,CTEK,US23258P1057,CYNERGISTEK INC/DE,CTEK,United States of America
4055,CYNK TECHNOLOGY CORP,CYNK,US23258A1088,CYNK TECHNOLOGY CORP,CYNK,
4056,CYPHERPUNK HOLDINGS INC,HODL,CA2326621067,CYPHERPUNK HOLDINGS INC,HODL,Canada
4057,CYPRESS DEVELOPMENT CORP,CYP,CA2327492005,CYPRESS DEVELOPMENT CORP,CYP,Canada
4058,CYPRESS SEMICONDUCTOR CORP,CYP,US2328061096,CYPRESS SEMICONDUCTOR CORP,CYP,Germany
4059,CYPRIUM METALS LTD,CYM,AU0000050536,CYPRIUM METALS LTD,CYM,Australia
4060,CYREN LTD,SCM,IL0010832371,CYREN LTD,CYRN,Germany
4061,CYRUSONE INC,CONE,US23283R1005,CYRUSONE INC,CONE,United States of America
4062,CYS INVESTMENTS INC,CYS,US12673A1088,CYS INVESTMENTS INC,CYS,
4063,CYTODYN INC,LIMITED,US23283M1018,CYTODYN INC,CYDY,United States of America
4064,CYTOKINETICS INC,NMS,US23282W6057,CYTOKINETICS INC,CYTK,United States of America
4065,CYTOMX THERAPEUTICS INC,NMS,US23284F1057,CYTOMX THERAPEUTICS INC,CTMX,United States of America
4066,CYTOSORBENTS CORP,SCM,US23283X2062,CYTOSORBENTS CORP,CTSO,United States of America
4067,CYTRX CORP,CYTR,US2328286081,CYTRX CORP,CYTR,United States of America
4068,CYTTA CORP,CURRENT,US12673W4078,CYTTA CORP,CYCA,United States of America
4069,D MECATRONICS INC,DMTA,US2332792074,D MECATRONICS INC,DMTA,
4070,D.A.CONSORTIUM HOLDINGS INC,6534,JP3548780000,D.A.CONSORTIUM HOLDINGS INC,6534,
4071,DA SEN HOLDINGS GROUP LTD,1580,KYG2659Y1089,DA SEN HOLDINGS GROUP LTD,1580,Hong Kong
4072,DABUR INDIA LIMITED,DABUR,INE016A01026,DABUR INDIA LIMITED,DABUR,India
4073,DACHAN FOOD ASIA LTD,3999,KYG261441086,DACHAN FOOD ASIA LTD,3999,Hong Kong
4074,DACIAN GOLD LTD,DCN,AU000000DCN6,DACIAN GOLD LTD,DCN,Australia
4075,DACOTAH BANKS INC,PREMQX,US2334221049,DACOTAH BANKS INC,DBIN,United States of America
4076,DADI EDUCATION HOLDINGS LTD,8417,KYG2616M1069,DADI EDUCATION HOLDINGS LTD,8417,Hong Kong
4077,DADI INTERNATIONAL GROUP LTD,8130,BMG2617D1056,DADI INTERNATIONAL GROUP LTD,8130,Hong Kong
4078,DAEJAN HOLDINGS PLC,DJANL,GB0002502036,DAEJAN HOLDINGS PLC,DJANL,
4079,DAETWYLER HOLDING AG-BR,DAE,CH0030486770,DAETWYLER HOLDING AG-BR,DAE,Switzerland
4080,DAFA PROPERTIES GROUP LIMITED,6111,KYG261681079,DAFA PROPERTIES GROUP LIMITED,6111,Hong Kong
4081,DAH SING BANKING GROUP LTD,2356,HK2356013600,DAH SING BANKING GROUP LTD,2356,Hong Kong
4082,DAH SING FINANCIAL HOLDINGS,440,HK0440001847,DAH SING FINANCIAL HOLDINGS,440,Hong Kong
4083,DAHU AQUACULTURE CO LTD -A,600257,CNE0000012Z4,DAHU AQUACULTURE CO LTD -A,600257,China
4084,DAI NIPPON PRINTING CO LTD,7912,JP3493800001,DAI NIPPON PRINTING CO LTD,7912,Germany
4085,DAI-DAN CO LTD,1980,JP3486000007,DAI-DAN CO LTD,1980,Japan
4086,DAI-ICHI LIFE HOLDINGS INC,8750,JP3476480003,DAI-ICHI LIFE HOLDINGS INC,8750,Japan
4087,DAIBIRU CORP,8806,JP3497200000,DAIBIRU CORP,8806,Japan
4088,DAICEL CORP,4202,JP3485800001,DAICEL CORP,4202,United States of America
4089,DAIDO GROUP LTD,544,BMG2619Y1315,DAIDO GROUP LTD,544,Hong Kong
4090,DAIDO METAL CO LTD,7245,JP3491800003,DAIDO METAL CO LTD,7245,Japan
4091,DAIDO STEEL CO LTD,5471,JP3491000000,DAIDO STEEL CO LTD,5471,Japan
4092,DAIFUKU CO LTD,6383,JP3497400006,DAIFUKU CO LTD,6383,Japan
4093,DAIHEN CORP,6622,JP3497800007,DAIHEN CORP,6622,Japan
4094,DAIICHI JITSUGYO CO LTD,8059,JP3475800003,DAIICHI JITSUGYO CO LTD,8059,Japan
4095,DAIICHI SANKYO CO LTD,4568,JP3475350009,DAIICHI SANKYO CO LTD,4568,Japan
4096,DAIICHIKOSHO CO LTD,7458,JP3475200006,DAIICHIKOSHO CO LTD,7458,Japan
4097,DAIKEN CO LTD,5900,JP3482400003,DAIKEN CO LTD,5900,Japan
4098,DAIKEN MEDICAL CO LTD,7775,JP3482500000,DAIKEN MEDICAL CO LTD,7775,Japan
4099,DAIKI AXIS CO LTD,4245,JP3480590003,DAIKI AXIS CO LTD,4245,Japan
4100,DAIKIN INDUSTRIES LTD,6367,JP3481800005,DAIKIN INDUSTRIES LTD,6367,Japan
4101,DAIKOKUYA HOLDINGS CO LTD,6993,JP3926000005,DAIKOKUYA HOLDINGS CO LTD,6993,Japan
4102,DAIKYONISHIKAWA CORP,4246,JP3481300006,DAIKYONISHIKAWA CORP,4246,Japan
4103,DAILY JOURNAL CORP,SCM,US2339121046,DAILY JOURNAL CORP,DJCO,United States of America
4104,DAILY MAIL&GENERAL TST-A NV,DMGT,GB00BJQZC279,DAILY MAIL&GENERAL TST-A NV,DMGT,United Kingdom
4105,DAIMARUENAWIN CO LTD,9818,JP3499200008,DAIMARUENAWIN CO LTD,9818,Japan
4106,DAINICHISEIKA COLOR & CHEM,4116,JP3492200005,DAINICHISEIKA COLOR & CHEM,4116,Japan
4107,DAIO PAPER CORP,3880,JP3440400004,DAIO PAPER CORP,3880,Japan
4108,DAIRY CREST GROUP PLC,DCG,GB0002502812,DAIRY CREST GROUP PLC,DCG,
4109,DAISEKI ECO. SOLUTION CO LTD,1712,JP3485700003,DAISEKI ECO. SOLUTION CO LTD,1712,Japan
4110,DAISHI BANK LTD/THE,8324,JP3483800003,DAISHI BANK LTD/THE,8324,
4111,DAISHO MICROLINE HOLDINGS LT,567,BMG2624V1063,DAISHO MICROLINE HOLDINGS LT,567,Hong Kong
4112,DAISYO CORP,9979,JP3484000009,DAISYO CORP,9979,Japan
4113,DAITO BANK LTD/THE,8563,JP3486700002,DAITO BANK LTD/THE,8563,Japan
4114,DAITO TRUST CONSTRUCT CO LTD,1878,JP3486800000,DAITO TRUST CONSTRUCT CO LTD,1878,Japan
4115,DAIWA ETF-TOPIX,1305,JP3027620008,DAIWA ETF-TOPIX,1305,
4116,DAIWA HOUSE INDUSTRY CO LTD,1925,JP3505000004,DAIWA HOUSE INDUSTRY CO LTD,1925,Germany
4117,DAIWA INDUSTRIES LTD,6459,JP3505800007,DAIWA INDUSTRIES LTD,6459,Japan
4118,DAIWA MOTOR TRANSPORTATION,9082,JP3503000006,DAIWA MOTOR TRANSPORTATION,9082,Japan
4119,DAIWA OFFICE INVESTMENT CORP,8976,JP3046310003,DAIWA OFFICE INVESTMENT CORP,8976,Japan
4120,DAIWA SECURITIES GROUP INC,8601,JP3502200003,DAIWA SECURITIES GROUP INC,8601,Germany
4121,DAKSHIDIN CORP,CURRENT,US2342631015,DAKSHIDIN CORP,DKSC,United States of America
4122,DAKTRONICS INC,NMS,US2342641097,DAKTRONICS INC,DAKT,United States of America
4123,DALATA HOTEL GROUP PLC,XETRA,IE00BJMZDW83,DALATA HOTEL GROUP PLC,DHG,Ireland
4124,DALI FOODS GROUP CO LTD,3799,KYG2743Y1061,DALI FOODS GROUP CO LTD,3799,Hong Kong
4125,DALMIA BHARAT SUGAR & INDUST,DALMIASUG,INE495A01022,DALMIA BHARAT SUGAR & INDUST,DALMIASUG,India
4126,DALRADA FINANCIAL CORP,CURRENT,US2354964031,DALRADA FINANCIAL CORP,DFCO,United States of America
